,,BCQ,BCQ,CQL,CQL,IQL,IQL,BC,BC
63,3150,-53.246788967738,-28.0512536299639,-16.6918144814967,-57.6245334064436,-54.4121260996239,-65.7292357298668,-52.9717922887756,-38.7164913578934
64,3200,-54.2592700821073,-34.1821226862846,-51.8412276827688,-64.0849792715399,-61.5530332227589,-65.7897960882857,-72.4162906843486,-56.9555769254838
65,3250,-36.7787901400939,-28.372745132538,-44.2954479240415,-19.614837942986,-61.5949902178863,-26.1372998989959,-115.684625088904,-36.47148376902
66,3300,-47.9153137372368,-37.8989703206178,-14.8767120865207,-25.3502244599861,-58.9104361603305,-68.1075816178447,-45.7727770630634,-48.1921925131121
67,3350,-34.5737533842265,-24.4934903713925,-26.6706019224065,-63.198556284579,-63.7890637080124,-74.625733624585,-91.9431013414683,-35.4609651688171
68,3400,-22.6757966070126,-26.5537239445424,-15.5337705617437,-53.452249351012,-60.9296030426688,-74.8662093623183,-64.3691229507288,-60.2415694389992
69,3450,-30.8254655596324,-25.3695222435841,-22.9555895911533,-40.4600809626261,-57.4808134467853,-70.3258834226296,-45.6023832650672,-55.930673182339
70,3500,-25.3743407989071,-22.604783823729,-16.7156409937816,-22.8576868297268,-58.3254843805491,-65.430157680009,-48.9962453634968,-59.9665385453261
71,3550,-19.6540956930417,-33.6339965062858,-16.5558506377412,-44.1728788209513,-54.4490755433664,-65.1686463844033,-115.272876152759,-50.1204497307421
72,3600,-71.4974929206478,-28.7572708726347,-42.9189508414375,-20.6256175454745,-57.2747467316282,-68.8809210194964,-51.5179905173394,-40.2035184138398
73,3650,-29.687600114187,-22.9688827345963,-17.5017871187079,-59.4047751823034,-58.1693444758307,-74.1636743264255,-48.3595227909953,-66.4429350053799
74,3700,-16.9435577505061,-22.6243420253488,-15.1591189894248,-46.8818935600921,-59.6442576734435,-64.4530795799467,-65.9302756816434,-58.7780719108411
75,3750,-56.6011553039977,-32.9892137666829,-48.0503087676845,-15.9965472005446,-63.1338124307824,-71.1539522268481,-50.9803091419989,-36.5125244620634
76,3800,-64.5320514915016,-32.3409194179398,-39.5428240863503,-59.7077666960547,-63.3479057060077,-64.2936500133085,-132.789056356402,-45.4284170214816
77,3850,-40.8980311918139,-42.5865728801702,-14.7402012394894,-21.7961414591366,-57.421776460583,-68.507860121183,-57.7305339690802,-43.2928589507205
78,3900,-20.7603232317908,-22.3490510140447,-14.8585630456366,-44.4413602450216,-56.7406665140162,-64.3210277783193,-56.9839621552206,-42.7648599828615
79,3950,-43.5828272734827,-26.95817941916,-16.7969039077575,-51.2063201568252,-61.9643617283682,-74.9708656613654,-53.0478066742167,-92.9659455488002
80,4000,-25.6683758824038,-29.2241692138844,-27.9874616190195,-56.5850032674524,-50.4663063465623,-37.9988177061274,-56.1435421855942,-35.5566692062167
81,4050,-61.6345896075736,-20.4714528221171,-20.2327686767724,-47.4606528826805,-59.6543649560835,-63.9280838864805,-54.0403309932993,-40.3246430722479
82,4100,-67.9705797327002,-59.5643650227075,-52.8168943667572,-54.0398395922285,-51.473000638049,-72.314326364003,-53.7214294103582,-39.3566574955922
83,4150,-21.0129579798142,-57.5212716451526,-24.2017265214606,-25.1303073770608,-37.8213475375454,-68.940436624566,-42.2051958081203,-45.9895453872694
84,4200,-15.6883443449286,-19.9718960539894,-15.3056429439139,-27.3561087526414,-64.1269942181903,-61.8343682872878,-47.775761208118,-41.0207901653168
85,4250,-12.911871529181,-31.8733053630975,-31.0161132282412,-23.3886835860538,-61.8364012198671,-48.4062877734841,-74.1869909891864,-58.861787028849
86,4300,-50.2999937390414,-22.4887710625222,-14.5848862749294,-52.4937605500712,-59.5670041303012,-59.1734217761446,-49.9094175560052,-64.4634227973383
87,4350,-47.9777346364877,-31.6529927683079,-44.5391387193392,-23.2556852316915,-66.8658208710241,-48.7882573516221,-59.7619727644372,-50.6906435971051
88,4400,-67.2204629416284,-27.3235879889004,-16.8440516137857,-35.1178895627594,-64.6977192267775,-65.1211466678159,-69.88949299456,-44.9714116001001
89,4450,-16.7704818653737,-24.0226057454178,-15.4304885921576,-53.6047329767255,-58.4495507727167,-75.7224198578537,-32.8606869733135,-56.8163871621378
90,4500,-64.9736144864811,-21.5910059749274,-16.9767883261268,-30.3548502900226,-59.4732498584667,-64.7324255523366,-60.834540916027,-56.4786207927191
91,4550,-25.7581763690009,-33.5405955986552,-21.9234422537841,-60.4942844424661,-57.3684419663879,-73.4650491581049,-40.295696829406,-52.2808286682393
92,4600,-60.1458023186324,-24.4401591485488,-35.7405683444948,-44.0981968683158,-51.6309898704227,-72.1889510043613,-58.8004829698889,-52.4485553108091
93,4650,-49.701068894777,-33.7345785902524,-13.3642190637606,-58.377351723858,-52.2388494729367,-69.6432113879082,-53.4283584276436,-47.0696548516952
94,4700,-18.0982354625173,-64.8780624412333,-17.8580449909197,-21.6778725760666,-58.6995247646718,-46.3121255328259,-114.515520316246,-39.572459273095
95,4750,-13.0455698176563,-21.7282396958663,-29.8369661069602,-36.639791153308,-56.535380107982,-72.5573335595147,-32.6794572927596,-34.7957435095476
96,4800,-12.4844093394029,-29.7078147749883,-37.6759897861573,-44.4205270929493,-64.0952190943928,-73.1247060882727,-61.654244428397,-51.7502874681184
97,4850,-65.366300191514,-39.9037457197137,-46.0848413901061,-45.786668209817,-59.3939598252837,-74.766107353122,-57.9292113895248,-28.7375002767601
98,4900,-62.4365837246511,-25.3662081400319,-16.1537329335115,-30.4707138688803,-54.185222022639,-27.6870723530867,-51.9523479518797,-53.3065389804276
99,4950,-58.8532027698409,-25.1038015109176,-16.5180898192059,-25.2275103846227,-54.9407554027435,-67.0991411814418,-120.486720858459,-52.9734361051009
100,5000,-46.7809490024119,-30.9065328068044,-45.9320724831033,-38.8123987151924,-59.2988840690549,-27.8372472483636,-114.084344168983,-35.9912013505476
101,5050,-72.0828267670826,-28.4161350438692,-27.2234128549514,-18.8123287971677,-59.30148606563,-50.6631325827929,-114.014844900484,-36.8858309431033
102,5100,-42.591208287741,-67.0489152426097,-19.5813561379066,-61.7859915495502,-66.5783222945005,-61.2235438531915,-118.745922724052,-51.4877761473484
103,5150,-29.6973034180997,-21.6764037890549,-15.6780689786739,-55.337476173171,-47.7641934076072,-64.3468748915727,-56.2629566112895,-37.9727875599907
104,5200,-55.5835060179593,-44.8969428945479,-30.8627160293224,-34.0207681706752,-53.4698318072986,-32.1886240303091,-39.7394388336724,-43.8114758787812
105,5250,-38.3678831214181,-33.8202290162384,-14.7025921366597,-44.1292725152475,-43.1948172463309,-72.8233784192467,-99.1420005191902,-44.5407602469825
106,5300,-67.996428799195,-25.1563654819517,-16.5252949924459,-35.0124108913397,-57.230296222799,-68.1054064033162,-35.9966299674783,-44.0880240074927
107,5350,-45.9821662943136,-21.6468658913995,-18.3718784211093,-28.2236807075371,-60.9621538849369,-62.8866482607,-54.957355765631,-49.6966226452992
108,5400,-73.9218432024817,-20.1054705848121,-18.0541776988551,-49.4847615547902,-50.425449127588,-65.6172879281371,-46.6285959357382,-60.2343408961762
109,5450,-68.872507144248,-49.943322987142,-51.6301199659462,-49.3318582691213,-60.0732363143373,-66.8923058958979,-52.6394905178981,-39.5402764592684
110,5500,-73.0114294044111,-46.1239988629774,-18.4958840256888,-35.4355343765052,-60.9768702758874,-59.5102558620029,-49.7358675339331,-35.773276390263
111,5550,-71.9139724133854,-28.6979596462441,-49.5800921877142,-22.1240760465353,-59.4308026958758,-35.3326092813617,-69.4747539197902,-35.4920544612843
112,5600,-72.9456125259841,-32.9182332910959,-38.9523469089527,-55.8340932657561,-61.1064468248973,-69.2697386746434,-50.9487381391975,-51.2701726329877
113,5650,-23.718060088347,-32.2842250742536,-15.7256955293929,-46.1326499238259,-47.4417681671782,-64.679290596084,-41.5037317995792,-47.7567973933631
